,code,product_name,product_type,brands,canonical_categories,canonical_countries,ingredients_n,known_ingredients_n,unknown_ingredients_n,completeness,scans_n,unique_scans_n,creator,completeness_ratio,compl_critical_ratio,is_duplicate_product_name,ingredients_match,unknown_ingredients_ratio,ingredients_quality_score,countries_count,categories_count,missing_country_flag,missing_category_flag,missing_both_taxonomy_flag,country_languages,category_languages,countries_mixl,categories_mixl,has_lang_conflict,taxonomy_score,product_quality_score
10186,3245678622957,Mousse coiffante,beauty,Cosmia,[],"[""en:france"", ""en:world""]",23.0,7.0,16.0,0.5625,2.0,1.0,org-auchan-apaw,1.0,1.0,0,1,0.6956521739130435,0.30434782608695654,2,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.7565217391304347
10187,3245678691441,Lingettes fraîcheur,beauty,Cosmia Baby,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france"", ""en:world""]",17,3.0,14,0.6625,1.0,1.0,org-auchan-apaw,1.0,1.0,1,1,0.8235294117647058,0.17647058823529416,2,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.711764705882353
10188,3245678691489,Lingettes nettoyantes à l'aloe vera bio,beauty,Cosmia Baby,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france"", ""en:world""]",10,1.0,9,0.5625,1.0,1.0,org-auchan-apaw,1.0,1.0,0,1,0.9,0.09999999999999998,2,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.685
10189,3245678704615,Spray anti-noeuds parfum cerise et fraise,beauty,"Cosmia, Kids",[],"[""en:france"", ""en:world""]",21.0,4.0,17.0,0.4625,1.0,1.0,org-auchan-apaw,1.0,1.0,0,1,0.8095238095238095,0.19047619047619047,2,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.7166666666666667
10195,3660050015408,savon certifié au lait de chèvre bio,beauty,Lov'FROG,[],"[""en:france""]",12,1.0,11,0.5875,1.0,1.0,rgarnaud,0.8571428571428571,0.75,0,1,0.9166666666666666,0.08333333333333337,1,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.543452380952381
10197,3564700840634,Crème lavante surgras,beauty,"Manava, Marque Repère","[""en:hygiene"", ""en:soaps"", ""en:liquid-soaps""]","[""en:france""]",21,15.0,6,0.6875,2.0,1.0,openfoodfacts-contributors,1.0,1.0,1,1,0.2857142857142857,0.7142857142857143,1,3,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.9
10199,5712873282302,"Shaving Gel, Sensitive, with Aloe Vera & Vitamin E",beauty,"Jago Pro, Lovena","[""en:non-food-products"", ""en:open-beauty-facts"", ""de:Rasur""]","[""en:germany""]",24,12.0,12,0.7875,1.0,1.0,openfoodfacts-contributors,1.0,1.0,0,1,0.5,0.5,1,3,0,0,0,"[""en""]","[""en"", ""de""]",0,1,0,0.6666666666666667,0.8
10200,8712561252485,Axe Déodorant Bodyspray Homme Provocation 48h Non-Stop Frais 150ml,beauty,Axe,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france""]",13,3.0,10,0.6625,1.0,1.0,org-unilever-france-gms,1.0,1.0,0,1,0.7692307692307693,0.23076923076923073,1,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.7307692307692307
10205,3282770049374,Primalba,beauty,A-Derma,"[""en:non-food-products"", ""en:open-beauty-facts"", ""fr:Cr\u00e8me visage et corps""]","[""en:france"", ""en:switzerland""]",27,5.0,22,0.775,1.0,1.0,openfoodfacts-contributors,1.0,1.0,0,1,0.8148148148148148,0.18518518518518523,2,3,0,0,0,"[""en""]","[""en"", ""fr""]",0,1,0,0.6666666666666667,0.6898148148148149
10207,5420073400098,Complexe Défatiguant Jambes Légères,beauty,E2 Essential Elements,"[""fr:Huiles Essentielles""]","[""en:belgium"", ""en:france"", ""en:united-states""]",12,2.0,10,0.5625,1.0,1.0,antoine014,1.0,1.0,0,1,0.8333333333333334,0.16666666666666663,3,1,0,0,0,"[""en""]","[""fr""]",0,0,1,0.6666666666666667,0.6833333333333333
10210,8411047145012,Loción corporal Arnica Piernas Cansadas,beauty,Instituto Español,[],"[""en:spain""]",47,33.0,14,0.375,1.0,1.0,veganeamos,1.0,1.0,0,1,0.2978723404255319,0.7021276595744681,1,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.8957446808510638
10211,3596710515424,Cire professionnelle à l'aloe vera,beauty,Cosmia,[],"[""en:france""]",16.0,0.0,16.0,0.4625,1.0,1.0,org-auchan-apaw,1.0,1.0,1,1,1.0,0.0,1,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.65
10212,3245678671283,Savon,beauty,Pouce,[],"[""en:france""]",13.0,2.0,11.0,0.4625,1.0,1.0,org-auchan-apaw,1.0,1.0,1,1,0.8461538461538461,0.15384615384615385,1,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.7038461538461539
10213,3094900059722,Triple protection + blancheur,beauty,Aquafresh,"[""en:non-food-products"", ""en:open-beauty-facts"", ""en:toothpaste""]","[""en:france""]",21,7.0,16,0.6875,4.0,1.0,openfoodfacts-contributors,1.0,1.0,1,0,0.7619047619047619,0.23809523809523814,1,3,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.7333333333333334
10215,3760020737337,Crème karité nourrissante,beauty,Naturado en Provence,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france""]",47,2.0,43,0.675,1.0,1.0,openfoodfacts-contributors,1.0,1.0,0,0,0.9148936170212766,0.08510638297872342,1,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.6797872340425533
10216,3331300032970,,beauty,Email Diamant,"[""en:non-food-products"", ""en:open-beauty-facts"", ""en:toothpaste""]","[""en:france""]",13,2.0,11,0.7875,1.0,1.0,openfoodfacts-contributors,1.0,1.0,1,1,0.8461538461538461,0.15384615384615385,1,3,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.7038461538461539
10217,8436533670113,,beauty,I.C.O.N.,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france""]",27,3.0,25,0.575,2.0,1.0,openfoodfacts-contributors,1.0,1.0,1,0,0.9259259259259259,0.07407407407407407,1,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.6759259259259259
10218,3760098407637,contour des yeux,beauty,De Saint Hilaire,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france""]",21,2.0,19,0.675,3.0,1.0,openfoodfacts-contributors,1.0,1.0,0,1,0.9047619047619048,0.09523809523809523,1,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.6833333333333333
